1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,,,,
128,AZ,Arizona,08,H8AZ08158,(I),Debbie,Lesko,"Lesko, Debbie",,R,"105,758",100.00%,,,"251,633",59.56%,,,,,W,W,,,,,,
129,AZ,Arizona,08,n/a,,,,,Party Votes:,R,"105,758",,,,,,,,,,,,,,,,,
130,AZ,Arizona,08,H0AZ08072,,Michael,Muscato,"Muscato, Michael",,D,"35,923",54.35%,,,"170,816",40.43%,,,,,W,,,,,,,
131,AZ,Arizona,08,H0AZ08080,,"Robert ""Bob""",Olsen,"Olsen, Robert ""Bob""",,D,"20,547",31.09%,,,,,,,,,,,,,,,,
132,AZ,Arizona,08,H8AZ08232,,Bob,Musselwhite,"Musselwhite, Bob",,D,"9,578",14.49%,,,,,,,,,,,,,,,,
133,AZ,Arizona,08,"H0AZ08106
",,Kyle,Martin,"Martin, Kyle",,W(D),45,0.07%,,,,,,,,,,,,,,,,
134,AZ,Arizona,08,n/a,,,,,Party Votes:,D,"66,093",,,,,,,,,,,,,,,,,
135,AZ,Arizona,08,H0AZ08114,,Taliban,Hendrix,"Hendrix, Taliban",,W,,,,,18,0.00%,,,,,,,,,,,,
136,AZ,Arizona,08,n/a,,,,,District Votes:,,"171,851",,,,"422,467",,,,,,,,,,,,,
137,AZ,Arizona,09,H8AZ09040,(I),Greg,Stanton,"Stanton, Greg",,D,"83,508",100.00%,,,"217,094",61.63%,,,,,W,W,,,,,,
138,AZ,Arizona,09,n/a,,,,,Party Votes:,D,"83,508",,,,,,,,,,,,,,,,,
139,AZ,Arizona,09,H6AZ09010,,Dave,Giles,"Giles, Dave",,R,"28,488",53.67%,,,"135,180",38.37%,,,,,W,,,,,,,
140,AZ,Arizona,09,H0AZ09047,,Sam,Huang,"Huang, Sam",,R,"12,532",23.61%,,,,,,,,,,,,,,,,
141,AZ,Arizona,09,H0AZ09021,,Nicholas,Tutora,"Tutora, Nicholas",,R,"12,059",22.72%,,,,,,,,,,,,,,,,
142,AZ,Arizona,09,n/a,,,,,Party Votes:,R,"53,079",,,,,,,,,,,,,,,,,
143,AZ,Arizona,09,n/a,,,,,District Votes:,,"136,587",,,,"352,274",,,,,,,,,,,,,
144,AZ,Arizona,H,n/a,,,,,Total State Votes:,,"1,327,489",,,,"3,268,249",,,,,,,,,,,,,
145,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
146,AR,Arkansas,01,H0AR01083,(I),Rick,Crawford,"Crawford, Rick",,R,Unopposed,,,,"237,596",100.00%,,,,,W,W,,,,,,
147,AR,Arkansas,01,n/a,,,,,District Votes:,,,,,,"237,596",,,,,,,,,,,,,
148,AR,Arkansas,02,H4AR02141,(I),French,Hill,"Hill, French",,R,Unopposed,,,,"184,093",55.37%,,,,,W,W,,,,,,
149,AR,Arkansas,02,H0AR02206,,Joyce,Elliott,"Elliott, Joyce",,D,Unopposed,,,,"148,410",44.63%,,,,,W,,,,,,,
150,AR,Arkansas,02,n/a,,,,,District Votes:,,,,,,"332,503",,,,,,,,,,,,,
151,AR,Arkansas,03,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,"214,960",64.31%,,,,,W,W,,,,,,
152,AR,Arkansas,03,H0AR03105,,Celeste,Williams,"Williams, Celeste",,D,Unopposed,,,,"106,325",31.81%,,,,,W,,,,,,,
153,AR,Arkansas,03,H8AR03090,,Michael J.,Kalagias,"Kalagias, Michael J.",,LIB,,,,,"12,977",3.88%,,,,,,,,,,,,
154,AR,Arkansas,03,n/a,,,,,District Votes:,,,,,,"334,262",,,,,,,,,,,,,
155,AR,Arkansas,04,H4AR04048,(I),Bruce ,Westerman,"Westerman, Bruce ",,R,Unopposed,,,,"191,617",69.67%,,,,,W,W,,,,,,
156,AR,Arkansas,04,H0AR04087,,William H.,Hanson,"Hanson, William H.",,D,Unopposed,,,,"75,750",27.54%,,,,,W,,,,,,,
157,AR,Arkansas,04,H0AR04095,,Frank,Gilbert,"Gilbert, Frank",,LIB,,,,,"7,668",2.79%,,,,,,,,,,,,
158,AR,Arkansas,04,n/a,,,,,District Votes:,,,,,,"275,035",,,,,,,,,,,,,
159,AR,Arkansas,H,n/a,,,,,Total State Votes:,,n/a,,,,"1,179,396",,,,,,,,,,,,,
160,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
161,CA,California,01,H2CA02142,(I),Doug,LaMalfa,"LaMalfa, Doug",,R,"128,613",54.64%,,,"204,190",56.99%,,,,,W,W,,,,,,
162,CA,California,01,H8CA01257,,Audrey ,Denney,"Denney, Audrey ",,D,"92,655",39.36%,,,"154,073",43.01%,,,,,W,,,,,,,
163,CA,California,01,H0CA01213,,Rob,Lydon,"Lydon, Rob",,D,"8,745",3.72%,,,,,,,,,,,,,,,,
164,CA,California,01,H0CA01197,,"Joseph, IV",LeTourneau,"LeTourneau, Joseph, IV",,NOP,"2,769",1.18%,,,,,,,,,,,,,,,,
165,CA,California,01,H2CA01136,,Gregory Edward,Cheadle,"Cheadle, Gregory Edward",,NOP,"2,596",1.10%,,,,,,,,,,,,,,,,
166,CA,California,01,n/a,,Kenneth E.,Swanson,"Swanson, Kenneth E.",,W(R),13,0.01%,,,,,,,,,,,,,,,,
167,CA,California,01,n/a,,,,,District Votes:,,"235,391",,,,"358,263",,,,,,,,,,,,,
168,CA,California,02,H2CA06259,(I),Jared,Huffman,"Huffman, Jared",,D,"184,155",67.69%,,,"294,435",75.74%,,,,,W,W,,,,,,
169,CA,California,02,H4CA02098,,Dale K.,Mensing,"Mensing, Dale K.",,R,"51,287",18.85%,,,"94,320",24.26%,,,,,W,,,,,,,
170,CA,California,02,H0CA02179,,Rachel,Moniz,"Moniz, Rachel",,D,"20,609",7.58%,,,,,,,,,,,,,,,,
171,CA,California,02,H0CA02187,,Melissa,Bradley,"Bradley, Melissa",,GRE,"12,412",4.56%,,,,,,,,,,,,,,,,
172,CA,California,02,H8CA00051,,"Charles ""Wally""",Coppock,"Coppock, Charles ""Wally""",,AIP,"3,600",1.32%,,,,,,,,,,,,,,,,
173,CA,California,02,n/a,,,,,District Votes:,,"272,063",,,,"388,755",,,,,,,,,,,,,
174,CA,California,03,H0CA10149,(I),John,Garamendi,"Garamendi, John",,D,"110,504",59.20%,,,"176,043",54.67%,,,,,W,W,,,,,,
175,CA,California,03,H0CA03128,,Tamika,Hamilton,"Hamilton, Tamika",,R,"50,925",27.28%,,,"145,945",45.33%,,,,,W,,,,,,,
176,CA,California,03,H0CA03144,,Sean,Feucht,"Feucht, Sean",,R,"25,243",13.52%,,,,,,,,,,,,,,,,
177,CA,California,03,n/a,,,,,District Votes:,,"186,672",,,,"321,988",,,,,,,,,,,,,
178,CA,California,04,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,"141,244",50.74%,,,"247,291",55.95%,,,,,W,W,,,,,,
179,CA,California,04,H0CA04175,,Brynne S.,Kennedy,"Kennedy, Brynne S.",,D,"110,771",39.80%,,,"194,731",44.05%,,,,,W,,,,,,,
180,CA,California,04,H0CA04183,,Julianne,Benzel,"Benzel, Julianne",,R,"12,138",4.36%,,,,,,,,,,,,,,,,
181,CA,California,04,H8CA04244,,Robert ,Lawton,"Lawton, Robert ",,NOP,"4,848",1.74%,,,,,,,,,,,,,,,,
182,CA,California,04,H0CA04209,,Jamie,Byers,"Byers, Jamie",,R,"4,822",1.73%,,,,,,,,,,,,,,,,
183,CA,California,04,H0CA04217,,Jacob,Thomas,"Thomas, Jacob",,R,"4,527",1.63%,,,,,,,,,,,,,,,,
